45.296179, 4806557, 148188, 81317032, 4806557, 43231602
42.623350, 6680450, 5567289, 77613069, 6680450, 41842084
43.120366, 5119973, 4903322, 79694188, 5119973, 42142257
43.962699, 4889137, 4652447, 79854918, 4889137, 42040107
43.413307, 5990228, 5753774, 79081722, 5990228, 42455551
xtrie direct
8.319273, 323926725, 8051, 793690661, 323926725, 787325106
10.667486, 538484526, 16019, 866770774, 538484526, 866084224
13.081046, 731054909, 32223, 1061605572, 731054909, 1061552717
16.396508, 1029203084, 106817, 1395964261, 1029203084, 1395939693
50.048106, 1281041596, 262967234, 1754176641, 1281041596, 1754011525
77.073857, 1409591465, 503184558, 1904695172, 1409591465, 1904684935
96.910612, 1551474127, 688907134, 2004762947, 1551474127, 2004762050
111.691435, 1711826011, 821666217, 2116046560, 1711826011, 2116045801
118.248950, 1790368248, 869925936, 2178017274, 1790368248, 2178015992
xtree regular hash table
17.478831, 708278098, 12397, 1248539237, 708278098, 1247402912
19.094487, 930014138, 24458, 1362968031, 930014138, 1362572566
23.891587, 1326985682, 52643, 1873660983, 1326985682, 1873164205
28.665130, 1695290299, 889123, 2393033371, 1695290299, 2392962494
109.886204, 2153885227, 704568047, 2839090414, 2153885227, 2838950145
128.435005, 2382299920, 983507716, 3018667687, 2382299920, 3018633695
159.061146, 2546746417, 1202146116, 3129813154, 2546746417, 3129810702
150.925367, 2771097421, 1361727644, 3298768788, 2771097421, 3298762006
180.032431, 2875033613, 1410122921, 3483365018, 2875033613, 3483292442

